npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,512,1024,bfloat16,quad,4,MMAS,M->M->A->S,126.73600000003353,110.34900000004563,36.445999999996275,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMSM,M->M->S->M,180.52599999995437,157.84000000008382,41.80499999993481,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMSA,M->M->S->A,131.74600000004284,105.48300000000745,46.23599999991711,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMSS,M->M->S->S,132.38899999996647,116.20999999996275,30.99600000004284,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAMM,M->A->M->M,176.5439999999944,153.7510000000475,47.38900000008289,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAMA,M->A->M->A,120.50899999996182,104.16099999996368,41.747999999905005,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAMS,M->A->M->S,130.6350000000093,114.34499999997206,36.334000000031665,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAAM,M->A->A->M,120.47900000005029,104.13500000000931,41.72999999998137,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAAA,M->A->A->A,70.97100000001956,61.17100000008941,37.27000000001863,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MAAS,M->A->A->S,83.09299999999348,62.35100000014063,42.88900000008289,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
